Station Name,Zone,Address,Phone Number
ITP Headquarters,F-8 Markaz,F-8 Markaz, Islamabad,+92-51-9261999
F-10 Traffic Zone,F-10,F-10 Markaz Road, Islamabad,+92-51-9262001
Blue Area Traffic Post,Blue Area,Main Jinnah Avenue, Islamabad,+92-51-9262002
Faizabad Traffic Zone,Faizabad,Faizabad Interchange,+92-51-9262003
I-8 Traffic Zone,I-8,I-8 Markaz,+92-51-9262004
I-10 Traffic Zone,I-10,I-10 Sector Near Police Line,+92-51-9262005
Aabpara Traffic Post,G-6,Aabpara Market,+92-51-9262006
G-9 Traffic Zone,G-9,G-9 Markaz Karachi Company,+92-51-9262007
G-10 Traffic Post,G-10,G-10 Markaz,+92-51-9262008
G-11 Traffic Post,G-11,G-11 Markaz,+92-51-9262009
G-13 Traffic Post,G-13,G-13 Sector Islamabad,+92-51-9262010
H-8 Traffic Zone,H-8,H-8 Near Education Complex,+92-51-9262011
H-11 Traffic Institute,H-11,ITP Training Institute Near NUST,+92-51-9262012
Rawal Dam Traffic Post,Lake View,Lake View Road,+92-51-9262013
Kashmir Highway Post,G-12,Kashmir Highway Toll Area,+92-51-9262014
Bharakahu Traffic Zone,Bharakahu,Main Murree Road,+92-51-9262015
Tarnol Traffic Post,Tarnol,GT Road Islamabad,+92-51-9262016
Rawat Traffic Post,Rawat,GT Road Rawat,+92-51-9262017
Zero Point Post,Zero Point,Zero Point Interchange,+92-51-9262018
Airport Road Post,Airport Road,Near Islamabad Airport,+92-51-9262019
